file,evidence,classification,target_phase,decision
src/app/actions/recordEditActions.ts,"storage_type,path_line_id",延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/app/usecases/recordInput/locator.ts,path_line_id,重写,Phase 1,稳定 ID / Record Block-only codec / ID locator-mutation / Task v2 create-read 主链。
src/app/usecases/recordInput/paths.ts,path_line_id,延后,Phase 4-5,先保留通用职责；旧 Task grammar/path#line 分支在消费者迁移完成后清零。
src/app/usecases/recordInput/workflows/DeleteRecordWorkflow.ts,path_line_id,延后,Phase 4-6,静态命中 Task/storage 语义，按所属消费者阶段迁移并在最终 gate 清零。
src/app/usecases/recordInput/workflows/RecordMigrationTransaction.ts,path_line_id,重写,Phase 1,稳定 ID / Record Block-only codec / ID locator-mutation / Task v2 create-read 主链。
src/app/usecases/recordInput/workflows/UpdateRecordWorkflow.ts,path_line_id,重写,Phase 1,稳定 ID / Record Block-only codec / ID locator-mutation / Task v2 create-read 主链。
src/core/ai/AiChatService.ts,storage_type,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/core/ai/AiNaturalLanguageRecordParser.ts,ai_structured_input_boundary,保留,Phase 1-4,结构化输入/UX 外壳可保留；写入端由 Foundation 截断旧 Markdown grammar，后续只改契约。
src/core/ai/retrieval/RetrievalResultMapper.ts,recurrence,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/core/ai/retrieval/RetrievalTypes.ts,storage_type,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/core/blocks/defaultCoreBlocks.ts,"checkbox_grammar,task_status",重写,Phase 1,稳定 ID / Record Block-only codec / ID locator-mutation / Task v2 create-read 主链。
src/core/energy/actionPolicy.ts,storage_type,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/core/energy/context.ts,storage_type,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/core/energy/effects.ts,storage_type,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
src/core/energy/patternSupport.ts,storage_type,延后,Phase 4,消费者改读 coreBlock/status/cadence/stable references；禁止 raw Task grammar。
